biomarker,description,male_median,male_MAD,male_weight,female_median,female_MAD,female_weight,log_transform
LBDSALSI,Albumin (g/L),0,1,-0.0336,0,1,-0.0336,FALSE
URXUCRSI,Creatinine (µmol/L),0,1,0.0095,0,1,0.0095,FALSE
LBDSGLSI,Glucose (mmol/L),0,1,0.1953,0,1,0.1953,FALSE
LBXCRP,C-reactive protein (log),0,1,0.0954,0,1,0.0954,TRUE
LBXLYPCT,Lymphocyte percent,0,1,-0.012,0,1,-0.012,FALSE
LBXMCVSI,Mean Cell Volume (fL),0,1,0.0268,0,1,0.0268,FALSE
LBXRDW,Red cell distribution width,0,1,0.3306,0,1,0.3306,FALSE
LBXSAPSI,Alkaline Phosphatase (ALP),0,1,0.0019,0,1,0.0019,FALSE
LBXWBCSI,WBC count,0,1,0.0554,0,1,0.0554,FALSE
RIDAGEEX,Chronological Age (months),0,1,0.0067,0,1,0.0067,FALSE
