biomarker,description,male_median,male_MAD,male_weight,female_median,female_MAD,female_weight,log_transform
RIDAGEEX,Chronological Age (months),0,1,-0.0156,0,1,-0.0092,FALSE
BMXBMI,Log Body Mass Index (kg/m2),3.32,0.17,-0.6649,3.35,0.25,-0.9209,TRUE
BPXSAR,Systolic Blood Pressure (mmHg),122,13.34,0.6827,118,14.83,0.3529,FALSE
BPXDAR,Diastolic Blood Pressure (mmHg),78,10.38,-0.6462,75,10.38,-0.0401,FALSE
BPXPLS,Pulse Rate (bpm),70,11.86,0.6146,72,11.86,0.7537,FALSE
LBXHGB,Hemoglobin (g/dL),15.3,0.89,-0.0711,13.5,1.04,-0.2515,FALSE
LBXRBCSI,Red Blood Cell Count (million cells/µL),5.05,0.37,-0.2983,4.43,0.39,-0.4521,FALSE
LBXHCT,Hematocrit (%),45.5,2.52,0.0438,39.7,3.11,0.1851,FALSE
LBXMCVSI,Mean Cell Volume (fL),90.3,4.45,0.5573,90.1,5.04,0.9786,FALSE
LBXMCHSI,Mean Cell Hemoglobin (pg),30.6,1.78,0.2522,30.6,2.08,0.3079,FALSE
LBXMC,Mean Cell Hemoglobin Concentration (g/dL),33.8,0.74,-0.5135,33.85,0.82,-1.352,FALSE
LBXRDW,Red Cell Distribution Width (%),12.5,0.59,1.2308,12.45,0.82,1.0851,FALSE
LBXPLTSI,Platelet Count (1000 cells/µL),243,48.93,-0.2833,277.5,68.2,-0.293,FALSE
LBXMPSI,Mean Platelet Volume (fL),8.2,0.74,0.1654,8.25,0.82,-1.2415,FALSE
LBXWBCSI,Log White Blood Cell Count (1000 cells/µL),1.89,0.3,0.296,1.94,0.29,0.1576,TRUE
LBXNEPCT,Segmented Neutrophils Percent (%),57.4,8.9,0.2223,57.5,9.56,-0.0336,FALSE
LBXLYPCT,Lymphocyte Percent (%),30.6,8.01,-0.1679,31.55,8.3,0.1625,FALSE
LBXMOPCT,Monocyte Percent (%),8.3,2.08,-0.2468,7.2,1.78,-0.0846,FALSE
LBXEOPCT,Eosinophils Percent (%),2.6,1.48,-0.0994,2.2,1.33,0.062,FALSE
LBXBAPCT,Basophils Percent (%),0.6,0.3,0.8416,0.7,0.3,-1.1977,FALSE
LBDNENO,Segmented Neutrophils,3.7,1.33,0.7111,4.1,1.63,0.1667,FALSE
LBDLYMNO,Lymphocyte Number (1000 cells/µL),2.1,0.59,0.0369,2.1,0.74,0.4609,FALSE
LBDMONO,Monocyte Number (1000 cells/µL),0.6,0.15,-0.2367,0.5,0.15,0.006,FALSE
LBDEONO,Eosinophils Number (1000 cells/µL),0.2,0.15,-0.1177,0.1,0.15,0.4001,FALSE
LBDBANO,Basophils Number (1000 cells/µL),0,1,0.0564,0,1,-0.0087,FALSE
LBXCRP,Log C-Reactive Protein (mg/dL),-1.9,1.13,-0.0169,-1.27,1.29,0.3697,TRUE
LBXSLDSI,Log Lactate Dehydrogenase (U/L),5.02,0.17,-0.5003,4.97,0.19,1.2617,TRUE
LBDIRNSI,Iron (µmol/L),17.01,6.11,0.1572,13.78,5.83,0.111,FALSE
LBDTIBSI,Total Iron Binding Capacity (µmol/L),63.19,10.08,0.8878,66.86,11.14,-0.2346,FALSE
LBXPCT,Transferrin Saturation (%),27.9,9.79,-0.3471,21.7,9.34,0.1989,FALSE
LBDFERSI,Log Ferritin (µg/L),5.01,0.77,-0.1916,3.69,1.14,1.2303,TRUE
LBDFOLSI,Log Folate (nmol/L),3.3,0.46,0.4887,3.34,0.47,0.0644,TRUE
LBDB12SI,Log Vitamin B12 (pmol/L),5.93,0.38,-0.133,5.83,0.43,-0.2926,TRUE
LBDSBUSI,Blood Urea Nitrogen (mmol/L),5,1.63,0.0037,4.3,1.04,1.0587,FALSE
LBXSNASI,Sodium (mmol/L),139.5,2.37,-0.9851,139.3,2.52,0.1037,FALSE
LBXSKSI,Potassium (mmol/L),4.17,0.3,-0.4695,3.96,0.29,-0.1022,FALSE
LBXSCLSI,Chloride (mmol/L),102.1,2.97,-0.9614,102.8,2.67,-0.3935,FALSE
LBXSC3SI,Bicarbonate (mmol/L),24,1.48,0.189,23,1.48,1.0227,FALSE
LBDSCRSI,Creatinine (µmol/L),70.7,13.05,0.0899,53,13.05,-0.6691,FALSE
LBDSCASI,Calcium Total (mmol/L),2.35,0.07,1.1378,2.33,0.11,-0.6769,FALSE
LBDSPHSI,Phosphorus (mmol/L),1.1,0.14,0.055,1.1,0.19,0.5391,FALSE
LBDSTPSI,Protein Total (g/L),76,4.45,-0.3174,75,4.45,-0.45,FALSE
LBDSALSI,Albumin (g/L),46,2.97,-1.8869,44,2.97,-0.4568,FALSE
LBDSGBSI,Globulin (g/L),30,4.45,0.9143,31,4.45,-0.1538,FALSE
LBDSTBSI,Bilirubin (µmol/L),10.3,2.52,-0.3771,6.8,2.67,-0.6931,FALSE
LBXSAPSI,Log Alkaline Phosphatase (IU/L),4.37,0.29,-0.396,4.32,0.32,1.6302,TRUE
LBXSATSI,Log Alanine Aminotransferase (U/L),3.37,0.48,-0.456,2.89,0.37,-0.1015,TRUE
LBXSASSI,Log Aspartate Aminotransferase (U/L),3.22,0.27,0.1985,3,0.24,0.6217,TRUE
LBDSUASI,Uric Acid (µmol/L),339,70.57,0.9963,255.8,61.82,0.7039,FALSE
LBDSGLSI,Glucose (mmol/L),5.05,0.58,-0.306,4.88,0.49,0.7204,FALSE
LBXGH,Glycohemoglobin (%),5.3,0.44,0.6176,5.2,0.44,0.4117,FALSE
LDLV,Low-Density Lipoprotein (mmol/L),3.84,1.05,0.1376,3.55,0.96,0.5774,FALSE
SSBNP,Log N-Terminal Pro-Brain,3.13,0.91,1.9505,3.96,0.79,1.921,TRUE
URXUMASI,Urine Albumin (mg/L),7.4,5.78,0.6967,7.2,7.49,0.0769,FALSE
URXUCRSI,Log Urine Creatinine (µmol/L),9.44,0.49,0.0999,9.17,0.76,-0.1815,TRUE
crAlbRat,Log Urine Albumin-to-Creatinine Ratio (mg/g),1.58,0.59,0.1664,1.85,0.7,0.2231,TRUE
LBXCOT,Smoking status / Cotinine (ng/mL),0,1,2.9341,0,1,3.0916,FALSE
fs1Score,Co-morbidity index,0,1,0.0587,0,1,0.0794,FALSE
fs2Score,Self-health index,0,1,0.8806,0,1,1.0748,FALSE
fs3Score,Healthcare use index,0,1,-0.1169,0,1,0.6267,FALSE
constant,C0 Constant,0,1,2.17,0,1,-3.84,FALSE
